Date,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5
1941-01,0.086672,-0.014827,-0.041511,-0.042194,-0.035777
1941-02,-0.02057,-0.028947,-0.020638,-0.020325,-0.021982
1941-03,0.028362,0.01484,-0.002957,-0.001306,0.004308
1941-04,-0.065406,-0.062169,-0.061027,-0.066184,-0.045266
1941-05,0.001901,0.010801,0.007811,0.004064,0.000574
1941-06,0.087131,0.063447,0.050529,0.052669,0.046096
1941-07,0.245179,0.122646,0.092838,0.100008,0.065663
1941-08,-0.019343,-0.012316,-0.014847,-0.003101,-0.010408
1941-09,-0.046718,-0.026818,-0.021722,-0.017125,-0.013419
1941-10,-0.080697,-0.063429,-0.066935,-0.057414,-0.060519
1941-11,-0.07716,-0.044104,-0.02946,-0.026974,-0.036229
1941-12,-0.158846,-0.112089,-0.087822,-0.062196,-0.048441
1942-01,0.406188,0.124209,0.065576,0.037962,0.025359
1942-02,-0.021477,-0.013459,-0.01983,-0.019646,-0.037217
1942-03,-0.051039,-0.053353,-0.053069,-0.061183,-0.076018
1942-04,-0.035435,-0.052069,-0.055833,-0.058213,-0.048621
1942-05,0.000746,0.016451,0.01886,0.033783,0.04802
1942-06,0.033276,0.003202,0.017224,0.014587,0.023028
1942-07,0.067691,0.03545,0.040678,0.043033,0.034971
1942-08,0.048141,0.022674,0.020804,0.015701,0.010012
1942-09,0.117748,0.031931,0.020543,0.020336,0.02123
1942-10,0.141438,0.112842,0.093114,0.086529,0.062093
1942-11,-0.033876,-0.01916,-0.026526,-0.025287,-0.012091
1942-12,-0.020643,0.022461,0.02583,0.040366,0.048947
1943-01,0.372991,0.17117,0.121925,0.083882,0.076782
1943-02,0.31722,0.112665,0.093902,0.071871,0.052272
1943-03,0.154123,0.118,0.101428,0.087965,0.070736
1943-04,0.088737,0.033002,0.023297,0.014084,0.005513
1943-05,0.139978,0.074073,0.07854,0.057007,0.048873
1943-06,-0.001229,0.007591,0.008211,0.002081,0.011042
1943-07,-0.072153,-0.075294,-0.068741,-0.067738,-0.04923
1943-08,-0.025639,0.000456,0.00673,0.010392,0.008016
1943-09,0.048577,0.033612,0.027622,0.021032,0.020375
1943-10,-0.00567,-0.003798,-0.008195,-0.009592,-0.011983
1943-11,-0.124983,-0.103936,-0.094357,-0.08621,-0.077412
1943-12,0.124632,0.095417,0.096723,0.077522,0.057656
1944-01,0.088841,0.041208,0.044163,0.026165,0.018397
1944-02,0.027003,0.01208,0.00592,0.004345,-0.004438
1944-03,0.054792,0.042712,0.040119,0.021045,0.024097
1944-04,-0.039752,-0.031486,-0.033411,-0.031374,-0.020319
1944-05,0.080496,0.057055,0.066749,0.053267,0.046907
1944-06,0.179559,0.095435,0.091104,0.072474,0.056235
1944-07,-0.015877,-0.010396,-0.014951,-0.013049,-0.017091
1944-08,0.041897,0.026065,0.030853,0.017314,0.013404
1944-09,0.002947,-0.006196,-0.000381,-0.006459,-0.005534
1944-10,0.003843,-0.009351,-0.003236,-0.003166,-0.001097
1944-11,0.022509,0.02139,0.011907,0.010899,0.005842
1944-12,0.091629,0.065364,0.056832,0.054489,0.036181
1945-01,0.070648,0.05079,0.039768,0.027753,0.022558
1945-02,0.093956,0.089301,0.083164,0.073464,0.063858
1945-03,-0.090883,-0.053539,-0.064168,-0.048056,-0.043884
1945-04,0.090075,0.087735,0.093411,0.087239,0.082422
1945-05,0.049234,0.022532,0.028178,0.015132,0.01016
1945-06,0.090668,0.021328,0.019027,0.028998,0.000639
